Dimension,Bucket,CorrectPredictions,TotalMatches,Accuracy
Division,10 & Under,323,366,88.25136612021858
Division,10 & Under Boys,19,26,73.07692307692307
Division,10 & Under Girls,3,5,60
Division,10 and Under,86,114,75.43859649122807
Division,10-U,263,293,89.76109215017065
Division,10-Under,1802,2254,79.94676131322093
Division,10-under Girls,230,288,79.86111111111111
Division,10-under Lower State,45,52,86.53846153846155
Division,10-under Novice,34,38,89.47368421052632
Division,10-under Open,1481,1845,80.27100271002709
Division,10-Under Rookie,1864,2294,81.25544899738448
Division,10-under Rookie/Novice,627,825,76
Division,10-under Upper State,22,29,75.86206896551724
Division,100-135,3,8,37.5
Division,103,10,11,90.9090909090909
Division,106-144,1,2,50
Division,108,48,61,78.68852459016394
Division,10th Annual,13,22,59.09090909090909
Division,10U,17023,20287,83.91087888795781
Division,10U - 12U,34,36,94.44444444444444
Division,10U 12U Girls,2,3,66.66666666666666
Division,10U 1st Year,48,77,62.33766233766234
Division,10U B,40,66,60.60606060606061
Division,10U Boys,244,302,80.79470198675497
Division,10U Boys Folkstyle,35,40,87.5
Division,10U Boys Freestyle,230,292,78.76712328767124
Division,10U Boys Greco-Roman,119,155,76.77419354838709
Division,10U F/S,3,6,50
Division,10U First Year,10,22,45.45454545454545
Division,10U Folkstyle,13,18,72.22222222222221
Division,10U Freestyle,50,64,78.125
Division,10U G/R,3,5,60
Division,10u girls,35,50,70
Division,10U Girls Folkstyle,0,1,0
Division,10U Girls Freestyle,8,14,57.14285714285714
Division,10U Girls Greco-Roman,4,10,40
Division,10U Greco,4,6,66.66666666666666
Division,10U Greco-Roman,28,35,80
Division,10U Men,47,57,82.45614035087719
Division,10U Novice,553,718,77.01949860724234
Division,10U OPEN,352,426,82.62910798122066
Division,10U ROOKIE,35,44,79.54545454545455
Division,10u rookie/novice,59,72,81.94444444444444
Division,10U-12U,122,127,96.06299212598425
Division,10U-2,38,38,100
Division,10u/12u,11,12,91.66666666666666
Division,10U/12U Greco-Roman,2,3,66.66666666666666
Division,10UB,2,2,100
Division,11 & 12,85,89,95.50561797752809
Division,11 & Under,61,92,66.30434782608695
Division,11 and Under,28,33,84.84848484848484
Division,110,12,13,92.3076923076923
Division,117,13,14,92.85714285714286
Division,11th Annual,6,10,60
